Unnamed: 0,ID,empatica_bvp,empatica_eda,empatica_temp,samsung_bvp,CL
143,0,0.9275288148,-0.2233269888,1.1039442748,-0.2642870332,1
144,0,-1.5153447192,-0.2196938883,1.1039442748,-0.2462870543,1
145,0,-0.5388145274,-0.2305931898,1.0793623625,-0.2430373284,1
146,0,0.8503845345,-0.2342262903,1.0793623625,-0.2259746456,1
147,0,-0.3913201677,-0.2305931898,1.0793623625,-0.3355474905,1
148,0,0.2964421611,-0.2342262903,1.1039442748,-0.3183939970,1
149,0,0.2244580334,-0.2305931898,1.1039442748,-0.2885529508,1
150,0,0.4551455245,-0.2451255919,1.0793623625,-0.2639594661,1
151,0,-0.1182047674,-0.2451255919,1.0547804501,-0.3764771724,1
152,0,0.3905862714,-0.2414924913,1.0547804501,-0.2613843339,1
153,0,1.0051891102,-0.2523889567,1.0547804501,-0.2539248832,1
154,0,-0.4792434390,-0.2669213587,1.0793623625,-0.2134524981,1
155,0,0.1775006454,-0.2523889567,1.0793623625,-0.1975865707,1
156,0,-0.7269880894,-0.2632882582,1.0793623625,-0.2632135210,1
157,0,0.4770474994,-0.2669213587,1.0793623625,-0.3043053648,1
158,0,-0.9791475427,-0.2596551577,1.0793623625,-0.2492221860,1
159,0,0.8706524612,-0.2596551577,1.0793623625,-0.2344751762,1
160,0,0.4158136895,-0.2669213587,1.0793623625,-0.2206849220,1
161,0,-0.7823737265,-0.2705544592,1.0547804501,-0.2611962260,1
162,0,0.5827732969,-0.2705544592,1.0547804501,-0.2772567478,1
163,0,0.0974896081,-0.2705544592,1.0547804501,-0.2528351547,1
164,0,-0.5957482102,-0.2632882582,1.0547804501,-0.2503443468,1
165,0,-0.8502584054,-0.2705544592,1.0301985378,-0.1709887639,1
166,0,0.5928069211,-0.2814509246,1.0301985378,-0.1463369008,1
167,0,0.5662034623,-0.2669213587,1.0301985378,-0.1217758485,1
168,0,1.5072719508,-0.2741875597,1.0301985378,-0.1089034311,1
169,0,-0.9184870773,-0.2705544592,1.0301985378,-0.0994558746,1
170,0,0.1760386022,-0.2705544592,1.0301985378,-0.0871769700,1
171,0,0.3420235084,-0.2741875597,1.0301985378,-0.1271174638,1
172,0,-0.8375300292,-0.2741875597,1.0301985378,-0.1277304361,1
173,0,0.3264570483,-0.2778178241,0.9933256693,-0.1073045140,1
174,0,0.5041383002,-0.2923502261,0.9933256693,-0.0995596582,1
